,Frame Iteration List,Step List,Episode List,Done List,Reward List,X Error List,X Mean Error List,Y Error List,Z Error List,Sqrt Distance List
20,20,20,0,False,-1.999006273043746,0.019908506044885144,0.009917220185300158,0.00025913119316101074,0.000574946403503418,1.9911003014031488
21,21,21,0,False,-2.098994348464694,0.020908506208797917,0.010416824095459147,0.00025913119316101074,0.000574946403503418,2.091088376824097
22,22,22,0,False,-2.1989835137842966,0.02190850637271069,0.010916462455339648,0.00025913119316101074,0.000574946403503418,2.1910775421436997
23,23,23,0,False,-2.2989736263030744,0.022908506536623463,0.011416130958726475,0.00025913119316101074,0.000574946403503418,2.2910676546624775
24,24,24,0,False,-2.3989645671901263,0.023908506700536236,0.011915825988398864,0.00025913119316101074,0.000574946403503418,2.3910585955495294
25,25,25,0,False,-2.498956236693163,0.02490850686444901,0.012415544483631562,0.00025913119316101074,0.000574946403503418,2.491050265052566
26,26,26,0,False,-2.5989485504574996,0.025908507028361782,0.01291528383714009,0.00025913119316101074,0.000574946403503418,2.5910425788169027
27,27,27,0,False,-2.698941436665601,0.026908507192274556,0.013415041814109177,0.00025913119316101074,0.000574946403503418,2.691035465025004
28,28,28,0,False,-2.7989348337914435,0.02790850735618733,0.01391481648797394,0.00025913119316101074,0.000574946403503418,2.7910288621508466
29,29,29,0,False,-2.89892850256741,0.028908505657454953,0.014414606126956641,0.00025913119316101074,0.000574946403503418,2.891022530926813
30,30,30,0,False,-2.9989227695745866,0.029908505821367726,0.014914409342905386,0.00025913119316101074,0.000574946403503418,2.9910167979339897
31,31,31,0,False,-3.098917408577806,0.0309085059852805,0.015414224862979609,0.00025913119316101074,0.000574946403503418,3.091011436937209
32,32,32,0,False,-3.198912570861444,0.03190850801183842,0.01591405162506624,0.00025913119316101074,0.000574946403503418,3.191006599220847
33,33,33,0,False,-3.2989076669383723,0.032908506313106045,0.016413888527655646,0.00025913119316101074,0.000574946403503418,3.2910016952977754
34,34,34,0,False,-3.3989034147340056,0.03390850833966397,0.01691373480799874,0.00025913119316101074,0.000574946403503418,3.3909974430934087
35,35,35,0,False,-3.4988990452308433,0.03490850664093159,0.017413589581135765,0.00025913119316101074,0.000574946403503418,3.4909930735902464
36,36,36,0,False,-3.5988949096206184,0.035908504942199215,0.017913452158461803,0.00025913119316101074,0.000574946403503418,3.5909889379800215
37,37,37,0,False,-3.6988913614089403,0.03690850696875714,0.018413322021890628,0.00025913119316101074,0.000574946403503418,3.6909853897683433
38,38,38,0,False,-3.7988876385614985,0.03790850527002476,0.01891319851543253,0.00025913119316101074,0.000574946403503418,3.7909816669209015
39,39,39,0,False,-3.8988844708535786,0.038908507296582684,0.019413081234961282,0.00025913119316101074,0.000574946403503418,3.8909784992129817
40,40,40,0,False,-3.998881099524999,0.03990850559785031,0.019912969634056137,0.00025913119316101074,0.000574946403503418,3.990975127884402
41,41,41,0,False,-4.098878257224807,0.04090850762440823,0.020412863395731187,0.00025913119316101074,0.000574946403503418,4.0909722855842094
42,42,42,0,False,-4.198875187714549,0.041908505925675854,0.02091276205921827,0.00025913119316101074,0.000574946403503418,4.190969216073952
43,43,43,0,False,-4.298872625871846,0.042908507952233776,0.021412665374968623,0.00025913119316101074,0.000574946403503418,4.290966654231249
44,44,44,0,False,-4.398869817425842,0.0439085062535014,0.02191257295004713,0.00025913119316101074,0.000574946403503418,4.390963845785245
45,45,45,0,False,-4.498867499003863,0.04490850828005932,0.02241248458765609,0.00025913119316101074,0.000574946403503418,4.4909615273632655
46,46,46,0,False,-4.59886491788841,0.04590850658132695,0.022912399949223557,0.00025913119316101074,0.000574946403503418,4.590958946247812
