,Frame Iteration List,Step List,Episode List,Done List,Reward List,X Error List,X Mean Error List,Y Error List,Z Error List,Sqrt Distance List
35,35,35,0,False,-5.656693601221856,0.05646427348256111,0.08908646837355466,0.002878904342651367,0.006174802780151367,5.656693601221856
36,36,36,0,False,-6.076855666226894,0.06066180020570755,0.08831823409874798,0.001753389835357666,0.006984233856201172,6.076855666226894
37,37,37,0,False,-7.268494196553713,0.07226211577653885,0.08789570466921616,0.01126176118850708,0.010877609252929688,7.268494196553713
38,38,38,0,False,-7.15491364361712,0.0703529380261898,0.08744589013990779,0.020916342735290527,0.015539586544036865,7.15491364361712
39,39,39,0,False,-7.841550239956221,0.07662240043282509,0.08717530289723072,0.02781185507774353,0.018398255109786987,7.841550239956221
40,40,40,0,False,-8.090332490627016,0.07847995311021805,0.08696322119510846,0.033364057540893555,0.02078026533126831,8.090332490627016
41,41,41,0,False,-8.633939690158487,0.08410804718732834,0.08689524086158988,0.032689839601516724,0.021276414394378662,8.633939690158487
42,42,42,0,False,-8.748845832560802,0.08537426218390465,0.08685986926443441,0.030860424041748047,0.022572040557861328,8.748845832560802
43,43,43,0,False,-8.502564468810354,0.08295392617583275,0.08677109783060256,0.02909308671951294,0.023358464241027832,8.502564468810354
44,44,44,0,False,-8.41681858348098,0.0822313129901886,0.0866702137230378,0.0262317955493927,0.024516761302947998,8.41681858348098
45,45,45,0,False,-7.831333415529241,0.07631644606590271,0.08644513181744791,0.023118019104003906,0.026470184326171875,7.831333415529241
46,46,46,0,False,-8.636746944046823,0.08499360457062721,0.08641424825900491,0.015263587236404419,0.026621997356414795,8.636746944046823
47,47,47,0,False,-7.5692854472100315,0.07406378537416458,0.08615694694890408,0.007126510143280029,0.030414938926696777,7.5692854472100315
48,48,48,0,False,-7.973065949388165,0.07796060293912888,0.08598967462217397,0.0006069540977478027,0.033408403396606445,7.973065949388165
